Territory,Sub_Territory,Account,Store_Name,Address,City,State,ZIP,Monthly_Visit_Freq,Monthly_Visit_Cost
MW,MW (Minnesota),Kowalskis,Kowalskis Market Edina Market,324 Southdale Ctr,Edina,MN,55435,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets Eden Prairie Market,16500 West 78th Street,Eden Prairie,MN,55346,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets Excelsior Market & Wine Shop,440 Water Street,Excelsior,MN,55331,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets Grand Avenue Market & Wine Shop,1261 Grand Avenue,Saint Paul,MN,55105,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets Lyndale Market,5327 Lyndale Avenue South,Minneapolis,MN,55419,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets Oak Park Heights Market & Wine Shop,5801 Neal Avenue North,Oak Park Heights,MN,55082,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets Parkview Market,5615 Chicago Avenue South,Minneapolis,MN,55417,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets Shoreview Market & Wine Shop,441 Highway 96 West,Shoreview,MN,55126,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets Uptown Market & Wine Shop,2440 Hennepin Avenue,Minneapolis,MN,55405,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets White Bear Lake Market,4391 South Lake Avenue,White Bear Lake,MN,55110,3,53.25
MW,MW (Minnesota),Kowalskis,Kowalskis Markets Woodbury Market & Wine Shop,8505 Valley Creek Road,Woodbury,MN,55125,3,53.25
NorCal,NorCal (East Bay),Indies,Berkeley Bowl Heinz Ave,920 Heinz Ave,Berkeley,CA,94710,2,35.5
NorCal,NorCal (East Bay),Indies,Berkeley Bowl Oregon St,2020 Oregon St,Berkeley,CA,94703,2,35.5
NorCal,NorCal (East Bay),Indies,Castro Valley Natural Grocery,3295 Castro Valley Blvd,Castro Valley,CA,94546,2,35.5
NorCal,NorCal (East Bay),Indies,Diablo Foods,3615 Mount Diablo Blvd,Lafayette,CA,94549,2,35.5
NorCal,NorCal (East Bay),Indies,Farmer Joe's,3426 Fruitvale Ave,Oakland,CA,94602,2,35.5
NorCal,NorCal (East Bay),Indies,Farmer Joe's MacArthur Blvd,3501 MacArthur Blvd,Oakland,CA,94619,2,35.5
NorCal,NorCal (East Bay),Indies,Piedmont Grocery Co,4038 Piedmont Ave,Oakland,CA,94611,2,35.5
NorCal,NorCal (East Bay),Indies,Village Market - Oakland,5885 Broadway Terrace,Oakland,CA,94618,2,35.5
NorCal,NorCal (North Bay),Nugget Market,Nugget Market Corte Madera,5627 Paradise Drive,Corte Madera,CA,94925,2,35.5
NorCal,NorCal (North Bay),Nugget Market,Nugget Market Novato,470 Ignacio Blvd.,Novato,CA,94949,2,35.5
NorCal,NorCal (North Bay),Nugget Market,Nugget Market Tiburon,1 Blackfield Drive,Tiburon,CA,94920,2,35.5
NorCal,NorCal (North Bay),Nugget Market,Sonoma Market (Nugget Market),500 West Napa Street,Sonoma,CA,95476,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,"Nugget Market Davis, Covell Blvd",1414 East Covell Blvd.,Davis,CA,95616,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,"Nugget Market Davis, Mace Blvd",409 Mace Blvd.,Davis,CA,95618,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,Nugget Market Elk Grove,7101 Elk Grove Blvd.,Elk Grove,CA,95758,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,"Nugget Market Fork Lift, Cameron Park",3333 Coach Lane,Cameron Park,CA,95682,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,"Nugget Market Roseville, Blue Oaks Blvd",1509 Blue Oaks Blvd.,Roseville,CA,95747,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,"Nugget Market Roseville, Pleasant Grove Blvd",771 Pleasant Grove Blvd.,Roseville,CA,95678,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,"Nugget Market Sacramento, Florin Rd",1040 Florin Road,Sacramento,CA,95831,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,Nugget Market El Dorado Hills,4500 Post Street,El Dorado Hills,CA,95762,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,Nugget Market Vacaville,130 Browns Valley Pkwy,Vacaville,CA,95688,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,Nugget Market West Sacramento,2000 Town Center Plaza,West Sacramento,CA,95691,2,35.5
NorCal,NorCal (Sacramento),Nugget Market,Nugget Market Woodland,157 Main Street,Woodland,CA,95695,2,35.5
PacNW,PacNW (Portland),New Seasons,New Seasons Arbor Lodge #43,6400 North Interstate Avenue,Portland,OR,97217,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Cedar Hills #199,3495 Southwest Cedar Hills Boulevard,Beaverton,OR,97005,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Concordia #273,5320 Northeast 33rd Avenue,Portland,OR,97211,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Fisher's Landing #263,2100b Southeast 164th Avenue,Vancouver,WA,98683,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Grant Park #275,3210 Northeast Broadway Street,Portland,OR,97232,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Happy Valley #277,15861 Southeast Happy Valley Town Center Drive,Happy Valley,OR,97086,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Hawthorne #279,4034 Southeast Hawthorne Boulevard,Portland,OR,97214,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Main Street,1506 Main St,Vancouver,WA,98660,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Milwaukie,10830 SE Oak St,Milwaukie,OR,97222,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Mountain Park #296,3 Monroe Parkway,Lake Oswego,OR,97035,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Nyberg Rivers #298,7703 Southwest Nyberg Street,Tualatin,OR,97062,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Orenco Station #300,1453 Northeast 61st Avenue,Hillsboro,OR,97124,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Palisades,1377 McVey Ave,Lake Oswego,OR,97034,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Progress Ridge #302,14805 Southwest Barrows Road,Beaverton,OR,97007,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Raleigh Hills #304,7300 Southwest Beaverton Hillsdale Highway,Portland,OR,97225,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Sellwood #308,1214 Southeast Tacoma Street,Portland,OR,97202,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Seven Corners #310,1954 Southeast Division Street,Portland,OR,97202,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Slabtown #312,2170 Northwest Raleigh Street,Portland,OR,97210,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Tanasbourne,10940 NE Evergreen Pkwy,Hillsboro,OR,97006,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons University Park #3262,6300 North Lombard Street,Portland,OR,97203,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Williams #27,3445 North Williams Avenue,Portland,OR,97227,3,53.25
PacNW,PacNW (Portland),New Seasons,New Seasons Woodstock #314,4500 Southeast Woodstock Boulevard,Portland,OR,97206,3,53.25
