Broker,Banner,WFM_Region,Location_Name,UNFI_DC,Visit_Frequency,Effective_Month
Final Touch,WFM,NE,Greenwich,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Montclair,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Manhasset,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Edgewater,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Ridgewood,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Chelsea,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Rose City,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Columbus Circle,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Jericho,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Union Square,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,White Plains,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Middletown,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Brooklyn,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Bowery,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Lake Grove,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Tribeca,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,West Orange Plaza,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Paramus,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Darien,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Millburn Union,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Fairfield,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,17th Street,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Yonkers,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Westport,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Closter,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Milford,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,East 57th Street,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Marlboro,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Danbury,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Port Chester,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Williamsburg,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Parsippany,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Harlem,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Upper East Side,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Morristown,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Newark,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Clark,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Bryant Park,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Spring Lake Wall,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Chappaqua,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Metuchen,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Bridgewater,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Commack,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Westbury,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Fort Greene,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Weehawken,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Manhattan West,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,NE,Wayne,"Hudson Valley, NY",Weekly,base
Final Touch,WFM,MA,Arlington,"York, PA",Weekly,base
Final Touch,WFM,MA,Bethesda,"York, PA",Weekly,base
Final Touch,WFM,MA,Falls Church,"York, PA",Weekly,base
Final Touch,WFM,MA,Devon,"York, PA",Weekly,base
Final Touch,WFM,MA,Springfield,"York, PA",Weekly,base
Final Touch,WFM,MA,Reston,"York, PA",Weekly,base
Final Touch,WFM,MA,Tenley Town,"York, PA",Weekly,base
Final Touch,WFM,MA,Mount Washington,"York, PA",Weekly,base
Final Touch,WFM,MA,Vienna,"York, PA",Weekly,base
Final Touch,WFM,MA,Marlton,"York, PA",Weekly,base
Final Touch,WFM,MA,Jenkintown,"York, PA",Weekly,base
Final Touch,WFM,MA,South Street,"York, PA",Weekly,base
Final Touch,WFM,MA,Silver Spring,"York, PA",Weekly,base
Final Touch,WFM,MA,P Street,"York, PA",Weekly,base
Final Touch,WFM,MA,Kentlands,"York, PA",Weekly,base
Final Touch,WFM,MA,Old Town,"York, PA",Weekly,base
Final Touch,WFM,MA,Princeton,"York, PA",Weekly,base
Final Touch,WFM,MA,Friendship Heights,"York, PA",Weekly,base
Final Touch,WFM,MA,Fair Lakes,"York, PA",Weekly,base
Final Touch,WFM,MA,Annapolis,"York, PA",Weekly,base
Final Touch,WFM,MA,Rockville,"York, PA",Weekly,base
Final Touch,WFM,MA,Plymouth Meeting,"York, PA",Weekly,base
Final Touch,WFM,MA,Glen Mills,"York, PA",Weekly,base
Final Touch,WFM,MA,Foggy Bottom,"York, PA",Weekly,base
Final Touch,WFM,MA,Riverdale,"York, PA",Weekly,base
Final Touch,WFM,MA,Wynnewood,"York, PA",Weekly,base
Final Touch,WFM,MA,Columbia,"York, PA",Weekly,base
Final Touch,WFM,MA,Philly Center City,"York, PA",Weekly,base
Final Touch,WFM,MA,Cherry Hill,"York, PA",Weekly,base
Final Touch,WFM,MA,Pentagon City,"York, PA",Weekly,base
Final Touch,WFM,MA,Ashburn,"York, PA",Weekly,base
Final Touch,WFM,MA,South Capitol Hill,"York, PA",Weekly,base
Final Touch,WFM,MA,H Street,"York, PA",Weekly,base
Final Touch,WFM,MA,Allentown,"York, PA",Weekly,base
Final Touch,WFM,MA,Spring House,"York, PA",Weekly,base
Final Touch,WFM,MA,Lancaster,"York, PA",Weekly,base
Final Touch,WFM,MA,Newtown,"York, PA",Weekly,base
Final Touch,WFM,MA,Harbor East,"York, PA",Weekly,base
Final Touch,WFM,MA,Tysons Corner,"York, PA",Weekly,base
Final Touch,WFM,MA,Florida Avenue,"York, PA",Weekly,base
Final Touch,WFM,MA,Exton,"York, PA",Weekly,base
Final Touch,WFM,FL,Coral Springs,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Biscayne,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Ft Lauderdale,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Boca Raton,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Palm Beach,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Sarasota,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Coral Gables,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Miami,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Naples,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Pembroke Pines,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Bayhill,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Wellington,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Jacksonville,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,South Beach,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Tampa,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Carrollwood,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Pompano Beach,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,North Miami,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Clearwater,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Altamonte Springs,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,West Palm Beach,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Davie,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Winter Park North,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,University Town Center,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Jacksonville Beach,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Fort Myers,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Dadeland,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Gainesville,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Delray Beach,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,West Boca,"Sarasota, FL",Weekly,base
Final Touch,WFM,FL,Midtown Miamia,"Sarasota, FL",Weekly,base
Final Touch,SW,2201 Preston Rd,Plano,"Lancaster, TX",WFM,base
Final Touch,SW,9607 Research Blvd #300,Gateway,"Lancaster, TX",WFM,base
Final Touch,SW,255 E Basse Rd,Quarry,"Lancaster, TX",WFM,base
Final Touch,SW,801 E Lamar Blvd,Parkway,"Lancaster, TX",WFM,base
Final Touch,SW,2955 Kirby Dr,Kirby,"Lancaster, TX",WFM,base
Final Touch,SW,4004 Bellaire Blvd,Bellaire,"Lancaster, TX",WFM,base
Final Touch,SW,4100 Lomo Alto Dr,Highland Park,"Lancaster, TX",WFM,base
Final Touch,SW,525 N Lamar,Lamar,"Lancaster, TX",WFM,base
Final Touch,SW,11700 Preston Rd,Forest,"Lancaster, TX",WFM,base
Final Touch,SW,8190 Park Lane Ste 351,Park Lane,"Lancaster, TX",WFM,base
Final Touch,SW,1700 Post Oak Blvd Ste 100,Post Oak,"Lancaster, TX",WFM,base
Final Touch,SW,15900 Southwest Freeway,Sugar Land,"Lancaster, TX",WFM,base
Final Touch,SW,2118 Abrams Rd,Lakewood,"Lancaster, TX",WFM,base
Final Touch,SW,11920 Domain Dr,Domain,"Lancaster, TX",WFM,base
Final Touch,SW,3720 Vision Dr,Ft Worth,"Lancaster, TX",WFM,base
Final Touch,SW,701 Waugh Dr,Montrose,"Lancaster, TX",WFM,base
Final Touch,SW,105 Stacy Rd,Fairview,"Lancaster, TX",WFM,base
Final Touch,SW,4301 W William Cannon,Arbor Trails,"Lancaster, TX",WFM,base
Final Touch,SW,12601 Hill Country Blvd,Bee Caves,"Lancaster, TX",WFM,base
Final Touch,SW,18403 Blanco Rd,Vineyard,"Lancaster, TX",WFM,base
Final Touch,SW,5100 Belt Line Rd Ste 1012,Addison,"Lancaster, TX",WFM,base
Final Touch,SW,6601 S Fry Rd,Katy,"Lancaster, TX",WFM,base
Final Touch,SW,10133 Louetta Rd,Champions,"Lancaster, TX",WFM,base
Final Touch,SW,4041 Waller Creek,Highland Village,"Lancaster, TX",WFM,base
Final Touch,SW,2510 McKinney Ave,Uptown Dallas,"Lancaster, TX",WFM,base
Final Touch,SW,4801 Colleyville Blvd,Colleyville,"Lancaster, TX",WFM,base
Final Touch,SW,1407 S Voss Rd,Voss,"Lancaster, TX",WFM,base
Final Touch,SW,1925 Hughes Landing Blvd Ste 100,Woodlands,"Lancaster, TX",WFM,base
Final Touch,SW,11041 Westheimer Rd,Westchase,"Lancaster, TX",WFM,base
Final Touch,SW,1411 E Renner Rd,Cityline,"Lancaster, TX",WFM,base
Final Touch,SW,6741 N MacArthur Blvd,Las Colinas,"Lancaster, TX",WFM,base
Final Touch,SW,515 Elgin Street,Midtown Houston,"Lancaster, TX",WFM,base
Final Touch,SW,101 N Loop W,Independence Heights,"Lancaster, TX",WFM,base
Final Touch,SW,5001 183A Toll Rd,Cedar Park,"Lancaster, TX",WFM,base
Final Touch,SW,901 E. 5th Street - Suite 100,East Austin,"Lancaster, TX",WFM,base
Final Touch,WFM,MW,River Forest,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Evanston,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Gold Coast,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Deerfield,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Naperville,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Sauganash,"Racine, WI",Weekly,base
Final Touch,WFM,MW,South Loop,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Halsted,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Northbrook,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Kingsbury Square,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Schaumburg,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Kildeer,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Hinsdale,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Hyde Park,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Orland Park,"Racine, WI",Weekly,base
