Store_Number,Store_Name,Status,WFM_Region,WFM_Region_Abbr,Op_Area,UNFI_DC,UNFI_Region,Distributor,Merch_Partner,Wire_Rack,DC_Source,Address,City,State,Zip,Latitude,Longitude
10679,125 Cafe,Closed,North Atlantic,,North Atlantic & International,"Chesterfield, NH",,Rainforest,Uncovered,No,inferred (region modal),125 Cambridgepark Dr,Cambridge,MA,2140,42.3948739,-71.1453
10715,17th Street,Open,Florida,FL,Southeast,"Sarasota, FL",,UNFI,Final Touch,No,inferred (region modal),501 SE 17th St,Ft Lauderdale,FL,33316,26.1005497,-80.1374
10054,"ANP Annapolis, MD TERMINATED",Closed,Mid-Atlantic,MA,Northeast,"York, PA",,Unknown,Uncovered,No,inferred (region modal),2504 Solomons Island Rd,Annapolis,MD,21401,38.9760551,-76.545
10144,Academy,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Uncovered,No,mapped,5815 Wyoming Blvd NE,Albuquerque,NM,87109,35.1464882,-106.556
10473,Addison,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,5100 Belt Line Rd Ste 1012,Dallas,TX,75254,32.9531822,-96.8214
10673,Akron,Open,Midwest,MW,Midwest,"York, PA",East,UNFI,Uncovered,No,mapped,1745 W Market St,Akron,OH,44313,41.1109543,-81.5714
10075,Alamo Quarry,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,255 E Basse Rd Ste 130,San Antonio,TX,78209,29.4932957,-98.4806
10492,Albany,Open,Northeast,NE,North Atlantic & International,"Montgomery, NY (HVA)",East,Rainforest,Uncovered,No,mapped,1425 Central Ave,Albany,NY,12205,42.7089539,-73.8189
10791,Albuquerque,Open,Rocky Mountain,RM,Central West,"Aurora, CO",,UNFI,Uncovered,No,inferred (region modal),2100 Carlisle Blvd NE,Albuquerque,NM,87110,35.1028938,-106.6025
10050,"Alexandria, VA (Annandale)",Closed,Mid-Atlantic,MA,Northeast,"York, PA",,Unknown,Uncovered,No,inferred (region modal),6548 Little River Turnpike,Alexandria,VA,22312,38.8223305,-77.162
10566,Allentown,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,750 N Krocks Rd Ste 301,Allentown,PA,18106,40.5644073,-75.5669
10182,Alpharetta,Closed,South,SO,Southeast,"Atlanta, GA",,Unknown,Uncovered,No,inferred (region modal),1180 Upper Hembree Rd,Roswell,GA,30076,34.0657997,-84.3252
10423,Alpine Ideal,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Uncovered,No,mapped,1275 Alpine Ave,Boulder,CO,80304,40.0260162,-105.2808
10516,Altamonte Springs,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Uncovered,No,mapped,305 E Altamonte Dr Ste 1000,Altamonte Springs,FL,32701,28.6642551,-81.3815
10528,Ambassador Caffery,Open,Southwest,SW,Southeast,"Lancaster, TX",West,UNFI,Uncovered,No,mapped,4247 Ambassador Caffery Pkwy,Lafayette,LA,70508,30.1609097,-92.0519
10371,Andover,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Final Touch,No,mapped,40 Railroad St,Andover,MA,1810,42.6609383,-71.1446
10167,Ann Arbor,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,3135 Washtenaw Ave,Ann Arbor,MI,48104,42.2580605,-83.6982
10018,"Ann Arbor, MI (Stadium)",Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",,Unknown,Uncovered,No,inferred (region modal),2398 East Stadium,Ann Arbor,MI,48104,42.2589188,-83.7099
10228,Annapolis,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,Yes,mapped,200 Harker Pl Ste 100,Annapolis,MD,21401,38.98209,-76.5402
10143,Arabella Station,Open,Southwest,SW,Southeast,"Lancaster, TX",West,UNFI,Uncovered,No,mapped,5600 Magazine St,New Orleans,LA,70115,29.9211235,-90.1175
10384,Arbor Trails,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,4301 W William Cannon Dr Bldg 800,Austin,TX,78749,30.2203465,-97.8419
10042,Arlington,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,Yes,mapped,2700 Wilson Blvd,Arlington,VA,22201,38.8890495,-77.0911
10507,Arlington Center,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Final Touch,No,mapped,808 Massachusetts Ave,Arlington,MA,2476,42.4163933,-71.1594
10237,Arroyo,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,465 S Arroyo Pkwy,Pasadena,CA,91105,34.1380997,-118.1478
10534,Ashburn,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,19800 Belmont Chase Dr Ste 160,Ashburn,VA,20147,39.0684166,-77.4843
